Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000000001,Gnai3,Age,18,1,-0.2257,0.3057,-0.8249,0.3736,0.54,0.4604,0.9642634524,-0.325585248,0.441098195,0.0158042936,0.797974612
ENSMUSG00000000028,Cdc45,Age,18,1,0.9957,0.7064,-0.3888,2.3802,1.99,0.1587,0.787480561,1.4364538681,1.0190933322,0.103760158,2.706547801
ENSMUSG00000000049,Apoh,Age,18,1,-1.5669,1.0300,-3.5857,0.4520,2.31,0.1282,0.7484353591,-2.260498308,1.4860391546,0.1258457029,0.2086998823
ENSMUSG00000000056,Narf,Age,18,1,0.1976,0.2054,-0.2050,0.6002,0.93,0.3361,0.9139428031,0.2850814065,0.2963619959,0.0390809827,1.2184790164
ENSMUSG00000000058,Cav2,Age,18,1,-0.3074,1.4208,-3.0921,2.4772,0.05,0.8287,0.9990752412,-0.443528135,2.0497534713,0.0004018035,0.7353341359
ENSMUSG00000000078,Klf6,Age,18,1,-0.5274,0.2110,-0.9410,-0.1139,6.25,0.0124,0.3769858475,-0.76092685,0.3044188387,0.4236749534,0.590117092
ENSMUSG00000000085,Scmh1,Age,18,1,-0.3587,0.2067,-0.7639,0.0465,3.01,0.0828,0.6782910617,-0.517425701,0.2982608146,0.1685839059,0.6986173122
ENSMUSG00000000088,Cox5a,Age,18,1,-0.3062,0.1738,-0.6469,0.0345,3.10,0.0782,0.6713491144,-0.441737535,0.2507981437,0.1730515797,0.736247362
ENSMUSG00000000093,Tbx2,Age,18,0,25.5352,0.0000,25.5352,25.5352,,,,36.839437811,0,,122963383441
ENSMUSG00000000120,Ngfr,Age,18,1,-0.0622,0.8882,-1.8031,1.6786,0.00,0.9442,0.9999208275,-0.089741757,1.2814096255,0.0000343855,0.9396909393
ENSMUSG00000000127,Fer,Age,18,1,-0.2561,0.3648,-0.9712,0.4589,0.49,0.4826,0.9682034341,-0.36953845,0.526363797,0.0140333813,0.7740300867
ENSMUSG00000000131,Xpo6,Age,18,1,0.2349,0.1363,-0.0322,0.5020,2.97,0.0848,0.6782910617,0.338870346,0.1966098337,0.1685839059,1.2647658736
ENSMUSG00000000134,Tfe3,Age,18,1,0.1807,0.2190,-0.2485,0.6099,0.68,0.4093,0.9473171513,0.2606885392,0.3159224404,0.0235045997,1.1980503485
ENSMUSG00000000142,Axin2,Age,18,1,-1.4301,0.9566,-3.3051,0.4448,2.24,0.1349,0.7595200187,-2.063253274,1.3800931442,0.1194607749,0.2392758544
ENSMUSG00000000148,Brat1,Age,18,1,0.1940,0.2162,-0.2297,0.6176,0.81,0.3696,0.9304976519,0.2798179215,0.3118503959,0.0312847185,1.2140416539
ENSMUSG00000000149,Gna12,Age,18,1,-0.0028,0.2307,-0.4550,0.4494,0.00,0.9903,0.9999208275,-0.004036872,0.3328488597,0.0000343855,0.9972057646
ENSMUSG00000000154,Slc22a18,Age,18,1,0.0444,1.1438,-2.1975,2.2863,0.00,0.9690,0.9999208275,0.0640860676,1.6502129181,0.0000343855,1.0454224656
ENSMUSG00000000157,Itgb2l,Age,18,1,0.3535,0.7762,-1.1679,1.8749,0.21,0.6488,0.995805013,0.509967777,1.1198764731,0.0018256918,1.4240183894
ENSMUSG00000000168,Dlat,Age,18,1,0.0740,0.6927,-1.2836,1.4316,0.01,0.9149,0.9999208275,0.1067591582,0.9993222359,0.0000343855,1.0768066004
ENSMUSG00000000171,Sdhd,Age,18,1,0.2813,0.2735,-0.2546,0.8173,1.06,0.3036,0.8952872777,0.4058808439,0.3945082352,0.0480375869,1.3248975857
ENSMUSG00000000184,Ccnd2,Age,18,1,0.3261,0.2625,-0.1884,0.8406,1.54,0.2141,0.8427242549,0.470460212,0.3787145591,0.0743145062,1.3855513811
ENSMUSG00000000194,Gpr107,Age,18,1,0.2288,0.2084,-0.1796,0.6373,1.21,0.2722,0.8836861476,0.3301542531,0.3006632127,0.0537019528,1.2571477817
ENSMUSG00000000204,Slfn4,Age,18,1,-0.1350,0.4976,-1.1103,0.8404,0.07,0.7862,0.9981578959,-0.194754007,0.7179336727,0.0008007534,0.8737218611
ENSMUSG00000000223,Drp2,Age,18,1,0.2830,0.9457,-1.5705,2.1365,0.09,0.7647,0.9981578959,0.4083041182,1.3643354371,0.0008007534,1.3271248673
ENSMUSG00000000244,Tspan32,Age,18,1,-0.1285,0.1957,-0.5121,0.2551,0.43,0.5115,0.9739108565,-0.185372004,0.2823623512,0.0114807929,0.8794222845
ENSMUSG00000000248,Clec2g,Age,18,1,0.5410,1.1286,-1.6709,2.7530,0.23,0.6317,0.992830538,0.7805310225,1.6281638657,0.003124873,1.7177630252
ENSMUSG00000000253,Gmpr,Age,18,1,-0.5271,0.2691,-1.0547,0.0004,3.84,0.0502,0.5843787937,-0.760505569,0.3882958745,0.2333055524,0.590289437
ENSMUSG00000000266,Mid2,Age,18,1,1.0728,0.7266,-0.3514,2.4969,2.18,0.1398,0.7650468316,1.5476684781,1.048269273,0.1163119791,2.9234430315
ENSMUSG00000000275,Trim25,Age,18,1,0.2989,0.1775,-0.0490,0.6468,2.84,0.0922,0.6892922211,0.43125701,0.2560883576,0.1615966226,1.3484079235
ENSMUSG00000000276,Dgke,Age,18,1,0.2673,0.5653,-0.8406,1.3752,0.22,0.6363,0.9932716137,0.385642074,0.8155362181,0.0029319759,1.3064410916
ENSMUSG00000000278,Scpep1,Age,18,1,0.2123,0.2592,-0.2957,0.7203,0.67,0.4127,0.9481024727,0.3062823352,0.3739317728,0.0231447208,1.2365172235
ENSMUSG00000000282,Mnt,Age,18,1,-0.0783,0.1923,-0.4551,0.2986,0.17,0.6840,0.995805013,-0.112908375,0.2774031677,0.0018256918,0.9247220051
ENSMUSG00000000290,Itgb2,Age,18,1,-0.2489,0.1516,-0.5461,0.0483,2.69,0.1007,0.7031960454,-0.359069919,0.2187419249,0.1529235803,0.7796670558
ENSMUSG00000000295,Hddc2,Age,18,1,0.3453,0.4991,-0.6329,1.3236,0.48,0.4890,0.9709328546,0.4982128712,0.7200642407,0.0128108029,1.4124627994
ENSMUSG00000000301,Pemt,Age,18,1,0.6031,0.9644,-1.2872,2.4933,0.39,0.5318,0.9776789678,0.8700613721,1.3913664195,0.0098037274,1.8277406507
ENSMUSG00000000303,Cdh1,Age,18,1,-1.5709,1.4577,-4.4279,1.2861,1.16,0.2812,0.8863752471,-2.266328187,2.1029603958,0.0523823806,0.2078582353
ENSMUSG00000000318,Clec10a,Age,18,1,0.1618,0.3789,-0.5808,0.9044,0.18,0.6694,0.995805013,0.2334203907,0.5466468782,0.0018256918,1.1756188452
ENSMUSG00000000320,Alox12,Age,18,1,-0.5400,0.2871,-1.1028,0.0228,3.54,0.0600,0.6196238628,-0.779123497,0.4142672915,0.2078718652,0.5827207153
ENSMUSG00000000326,Comt,Age,18,1,0.5825,0.4599,-0.3189,1.4840,1.60,0.2053,0.8367409402,0.8403883797,0.6635468197,0.0774089812,1.7905320959
ENSMUSG00000000339,Rtca,Age,18,1,0.0961,0.1747,-0.2464,0.4386,0.30,0.5824,0.9862796008,0.1386117598,0.2520905288,0.0059999493,1.1008453124
ENSMUSG00000000340,Dbt,Age,18,1,0.1084,0.3710,-0.6187,0.8355,0.09,0.7702,0.9981578959,0.1563551424,0.5352158341,0.0008007534,1.1144679611
ENSMUSG00000000346,Dazap2,Age,18,1,-0.2749,0.3006,-0.8640,0.3141,0.84,0.3603,0.9290965379,-0.39664279,0.4336087691,0.0319391582,0.759623904
ENSMUSG00000000355,Mcts1,Age,18,1,0.1351,0.4612,-0.7689,1.0391,0.09,0.7696,0.9981578959,0.194927343,0.6653948446,0.0008007534,1.1446665115
ENSMUSG00000000359,Rem1,Age,18,1,-0.6045,1.8384,-4.2077,2.9987,0.11,0.7423,0.9978539623,-0.872142754,2.6522339177,0.0009330138,0.5463348074
ENSMUSG00000000374,Trappc10,Age,18,1,0.1893,0.4340,-0.6614,1.0399,0.19,0.6628,0.995805013,0.2730681798,0.6261353675,0.0018256918,1.2083749482
ENSMUSG00000000378,Ccm2,Age,18,1,-0.0294,0.1332,-0.2904,0.2317,0.05,0.8255,0.9981830775,-0.042349855,0.1921266081,0.0007897971,0.9710719807
ENSMUSG00000000384,Tbrg4,Age,18,1,0.6476,0.2615,0.1351,1.1601,6.13,0.0133,0.3841003022,0.934246075,0.3772555258,0.4155553511,1.9108917785
ENSMUSG00000000386,Mx1,Age,18,1,0.0476,0.6640,-1.2538,1.3490,0.01,0.9429,0.9999208275,0.0686413653,0.9579532358,0.0000343855,1.0487285952
ENSMUSG00000000399,Ndufa9,Age,18,1,0.1453,0.2939,-0.4307,0.7212,0.24,0.6211,0.992830538,0.2095654617,0.4239533336,0.003124873,1.156339843
ENSMUSG00000000402,Egfl6,Age,18,1,2.5755,1.3127,0.0027,5.1484,3.85,0.0498,0.5823702729,3.7157329203,1.893813606,0.2348008017,13.138538708
ENSMUSG00000000409,Lck,Age,18,1,0.2887,0.3151,-0.3290,0.9063,0.84,0.3596,0.9290965379,0.4164558797,0.4546262208,0.0319391582,1.3346448398
ENSMUSG00000000420,Galnt1,Age,18,1,-0.0086,0.2787,-0.5549,0.5376,0.00,0.9753,0.9999208275,-0.01246216,0.4020836263,0.0000343855,0.9913990901
ENSMUSG00000000439,Mkrn2,Age,18,1,-0.3784,0.5339,-1.4248,0.6679,0.50,0.4784,0.9682034341,-0.545950233,0.7702009212,0.0140333813,0.6849401173
ENSMUSG00000000440,Pparg,Age,18,1,-0.0211,1.0280,-2.0359,1.9938,0.00,0.9837,0.9999208275,-0.03037824,1.483066813,0.0000343855,0.9791635506
ENSMUSG00000000441,Raf1,Age,18,1,0.1799,0.2581,-0.3261,0.6858,0.49,0.4859,0.9698124022,0.2595154449,0.372408611,0.0133122663,1.1970765774
ENSMUSG00000000486,1-Sep,Age,18,1,0.2867,0.2415,-0.1866,0.7600,1.41,0.2351,0.8642437029,0.4136664191,0.3483750255,0.0633637761,1.3320667881
ENSMUSG00000000489,Pdgfb,Age,18,1,-0.6342,1.0145,-2.6227,1.3542,0.39,0.5319,0.9776789678,-0.915017606,1.4636540751,0.0098037274,0.5303373988
ENSMUSG00000000530,Acvrl1,Age,18,1,0.1170,0.3645,-0.5974,0.8315,0.10,0.7482,0.9981578959,0.1688386696,0.5259108797,0.0008007534,1.1241532075
ENSMUSG00000000531,Grasp,Age,18,1,0.8682,0.8281,-0.7548,2.4912,1.10,0.2944,0.890764115,1.2525885905,1.1946777471,0.0502372871,2.3826855882
ENSMUSG00000000532,Acvr1b,Age,18,1,0.5813,0.4686,-0.3371,1.4998,1.54,0.2148,0.8430923089,0.8386480243,0.6760549012,0.0741248725,1.7883734391
ENSMUSG00000000538,Tom1l2,Age,18,1,0.2239,0.2641,-0.2938,0.7416,0.72,0.3966,0.9425698368,0.3230646063,0.3810783911,0.0256864622,1.2509851001
ENSMUSG00000000552,Zfp385a,Age,18,1,0.0864,0.2758,-0.4541,0.6270,0.10,0.7540,0.9981578959,0.124664907,0.3978946176,0.0008007534,1.0902544712
ENSMUSG00000000555,Itga5,Age,18,1,0.1951,0.3605,-0.5115,0.9017,0.29,0.5884,0.9877546297,0.2814826695,0.5201305779,0.0053509261,1.2154433639
ENSMUSG00000000560,Gabra2,Age,18,1,1.1861,0.5110,0.1846,2.1877,5.39,0.0203,0.4436926961,1.7111970597,0.7372254444,0.3529177205,3.2743239403
ENSMUSG00000000561,Wdr77,Age,18,1,0.0676,0.2608,-0.4436,0.5788,0.07,0.7956,0.9981578959,0.0974970661,0.3762943977,0.0008007534,1.0699156531
ENSMUSG00000000562,Adora3,Age,18,1,-0.4574,0.7284,-1.8850,0.9702,0.39,0.5301,0.9775037449,-0.65985881,1.0508493348,0.0098815701,0.632940237
ENSMUSG00000000563,Atp5f1,Age,18,1,-0.1005,0.1055,-0.3073,0.1063,0.91,0.3408,0.9164467429,-0.144994574,0.1522047296,0.0378927679,0.9043827788
ENSMUSG00000000568,Hnrnpd,Age,18,1,0.0707,0.1579,-0.2388,0.3802,0.20,0.6545,0.995805013,0.1019567794,0.2278318756,0.0018256918,1.0732281339
ENSMUSG00000000579,Dynlt1c,Age,18,1,-0.3010,0.4147,-1.1138,0.5118,0.53,0.4680,0.9678536518,-0.434187656,0.5982835626,0.014190307,0.7401103744
ENSMUSG00000000581,C1d,Age,18,1,-0.5288,0.5130,-1.5341,0.4766,1.06,0.3026,0.8948204759,-0.762849687,0.7400400105,0.0482640866,0.5893311026
ENSMUSG00000000594,Gm2a,Age,18,1,0.0165,0.1393,-0.2564,0.2894,0.01,0.9057,0.9999208275,0.0237885112,0.2009054177,0.0000343855,1.0166256323
ENSMUSG00000000600,Krit1,Age,18,1,0.2700,0.3857,-0.4858,1.0259,0.49,0.4838,0.9689859603,0.3895835967,0.556396209,0.0136825154,1.3100152412
ENSMUSG00000000605,Clcn4,Age,18,1,0.4793,0.3361,-0.1794,1.1381,2.03,0.1538,0.7835330127,0.6915461933,0.4848873743,0.1059427006,1.615013465
ENSMUSG00000000606,Vmn2r88,Age,18,0,25.1191,0.0000,25.1191,25.1191,,,,36.23917425,0,,81110759394
ENSMUSG00000000627,Sema4f,Age,18,1,0.1237,0.7512,-1.3486,1.5961,0.03,0.8692,0.9999208275,0.1784967683,1.0837835118,0.0000343855,1.1317040794
ENSMUSG00000000628,Hk2,Age,18,1,-0.9024,0.5266,-1.9346,0.1298,2.94,0.0866,0.6809021342,-1.301868904,0.7597793488,0.1669153046,0.4056004326
ENSMUSG00000000631,Myo18a,Age,18,1,0.8845,0.2641,0.3668,1.4022,11.21,0.0008,0.123279273,1.276047979,0.3810443072,0.9091099354,2.4217467054
ENSMUSG00000000673,Haao,Age,18,1,0.6178,0.1908,0.2438,0.9918,10.48,0.0012,0.1410905248,0.8913097084,0.2753063926,0.8505021513,1.8548592392
ENSMUSG00000000682,Cd52,Age,18,1,0.0228,0.1888,-0.3471,0.3928,0.01,0.9038,0.9999208275,0.032916,0.2723235565,0.0000343855,1.0230778999
ENSMUSG00000000686,Abhd15,Age,18,1,-0.4980,0.5691,-1.6133,0.6173,0.77,0.3815,0.9359372108,-0.718497495,0.8209704945,0.0287532858,0.6077300377
ENSMUSG00000000690,Hoxb6,Age,18,0,25.5873,0.0000,25.5873,25.5873,,,,36.914603003,0,,129539668634
ENSMUSG00000000693,Loxl3,Age,18,1,-0.2559,0.6292,-1.4891,0.9773,0.17,0.6842,0.995805013,-0.369195989,0.907714891,0.0018256918,0.7742138446
ENSMUSG00000000708,Kat2b,Age,18,1,-0.1972,0.6702,-1.5108,1.1164,0.09,0.7686,0.9981578959,-0.284490289,0.9669196455,0.0008007534,0.8210316322
ENSMUSG00000000711,Rab5b,Age,18,1,-0.0268,0.1383,-0.2979,0.2442,0.04,0.8462,0.9993708756,-0.038692217,0.1995261316,0.0002733112,0.9735370453
ENSMUSG00000000731,Aire,Age,18,1,0.4444,1.3491,-2.1998,3.0886,0.11,0.7419,0.9978539623,0.6410976747,1.946334063,0.0009330138,1.5595152654
ENSMUSG00000000732,Icosl,Age,18,1,-0.0275,0.3051,-0.6256,0.5705,0.01,0.9281,0.9999208275,-0.039732617,0.4402330383,0.0000343855,0.9728352317
ENSMUSG00000000738,Spg7,Age,18,1,0.0434,0.2514,-0.4493,0.5360,0.03,0.8630,0.9999208275,0.0625603122,0.3626531344,0.0000343855,1.0443174395
ENSMUSG00000000739,Sult5a1,Age,18,1,1.1875,0.6921,-0.1690,2.5440,2.94,0.0862,0.6809021342,1.7132071257,0.9984699652,0.1669153046,3.2788891423
ENSMUSG00000000740,Rpl13,Age,18,1,0.0570,0.1980,-0.3310,0.4450,0.08,0.7735,0.9981578959,0.0821773099,0.2855933523,0.0008007534,1.0586144926
ENSMUSG00000000743,Chmp1a,Age,18,1,-0.4142,0.1325,-0.6739,-0.1545,9.77,0.0018,0.1695777688,-0.597550879,0.1911655826,0.7706310832,0.6608749058
ENSMUSG00000000751,Rpa1,Age,18,1,0.1730,0.2016,-0.2221,0.5680,0.74,0.3908,0.9411819247,0.2495335312,0.2907950429,0.026326422,1.188822669
ENSMUSG00000000753,Serpinf1,Age,18,1,1.1805,1.3544,-1.4740,3.8350,0.76,0.3834,0.9373095499,1.7030943454,1.9539479143,0.0281169581,3.2559856592
ENSMUSG00000000759,Tubgcp3,Age,18,1,-0.4452,0.6207,-1.6617,0.7713,0.51,0.4732,0.9682034341,-0.642283874,0.8954663946,0.0140333813,0.6406978817
ENSMUSG00000000776,Polr3d,Age,18,1,0.1421,0.5234,-0.8838,1.1680,0.07,0.7860,0.9981578959,0.205018589,0.7551772246,0.0008007534,1.1527011992
ENSMUSG00000000782,Tcf7,Age,18,1,-0.3683,0.3438,-1.0423,0.3056,1.15,0.2841,0.8879638603,-0.531386943,0.4960642211,0.0516047094,0.6918892628
ENSMUSG00000000787,Ddx3x,Age,18,1,0.0296,0.1979,-0.3583,0.4175,0.02,0.8812,0.9999208275,0.042681269,0.2855230203,0.0000343855,1.0300263674
ENSMUSG00000000791,Il12rb1,Age,18,1,1.6315,0.5233,0.6058,2.6572,9.72,0.0018,0.1712551832,2.3538250331,0.755001288,0.7663562752,5.1117774701
ENSMUSG00000000794,Kcnn3,Age,18,0,25.0960,0.0000,25.0960,25.0960,,,,36.205909731,0,,79261967665
ENSMUSG00000000804,Usp32,Age,18,1,-0.2095,0.2493,-0.6981,0.2792,0.71,0.4008,0.9455905198,-0.302200214,0.359664483,0.0242968906,0.8110145969
ENSMUSG00000000811,Txnrd3,Age,18,1,-0.3206,0.8927,-2.0702,1.4290,0.13,0.7195,0.995805013,-0.462490197,1.2878579887,0.0018256918,0.7257325095
ENSMUSG00000000817,Fasl,Age,18,1,0.4825,1.2392,-1.9462,2.9113,0.15,0.6970,0.995805013,0.6961315673,1.787771959,0.0018256918,1.6201546914
ENSMUSG00000000823,Zfp512b,Age,18,1,1.7655,0.5430,0.7013,2.8298,10.57,0.0011,0.1394245858,2.5471086751,0.7833606063,0.8556606369,5.84461776
ENSMUSG00000000826,Dnajc5,Age,18,1,0.0381,0.1729,-0.3008,0.3770,0.05,0.8257,0.9981830775,0.0549379036,0.2494527726,0.0007897971,1.0388143897
ENSMUSG00000000827,Tpd52l2,Age,18,1,-0.2243,0.1544,-0.5270,0.0784,2.11,0.1464,0.7776795543,-0.323613094,0.2228071703,0.1091993188,0.7990661834
ENSMUSG00000000838,Fmr1,Age,18,1,0.4750,0.7201,-0.9364,1.8864,0.44,0.5095,0.9737597528,0.6852448288,1.0388951368,0.0115481796,1.6079748355
ENSMUSG00000000861,Bcl11a,Age,18,1,0.0856,0.2143,-0.3343,0.5056,0.16,0.6894,0.995805013,0.1235229204,0.309105107,0.0018256918,1.0893918056
ENSMUSG00000000869,Il4,Age,18,1,0.6854,0.5082,-0.3108,1.6815,1.82,0.1775,0.8145017819,0.9887523488,0.7332179683,0.0891079612,1.9844680688
ENSMUSG00000000876,Pxmp4,Age,18,1,0.1329,0.3449,-0.5432,0.8089,0.15,0.7001,0.995805013,0.1916788746,0.497612187,0.0018256918,1.1420920036
ENSMUSG00000000881,Dlg3,Age,18,1,-0.0900,0.7485,-1.5570,1.3770,0.01,0.9043,0.9999208275,-0.129832373,1.079850362,0.0000343855,0.9139376348
ENSMUSG00000000884,Gnb1l,Age,18,1,-0.5458,0.5208,-1.5665,0.4750,1.10,0.2947,0.890764115,-0.78738376,0.7513411677,0.0502372871,0.5793938356
ENSMUSG00000000901,Mmp11,Age,18,1,-1.4580,1.3610,-4.1256,1.2096,1.15,0.2841,0.8879638603,-2.103436279,1.9635469802,0.0516047094,0.2327033235
ENSMUSG00000000902,Smarcb1,Age,18,1,0.4598,0.1867,0.0939,0.8256,6.07,0.0138,0.3901514806,0.6633173425,0.2693011324,0.4087667407,1.5837200565
ENSMUSG00000000903,Vpreb3,Age,18,1,-0.2381,0.2906,-0.8076,0.3314,0.67,0.4125,0.9478951942,-0.343501022,0.4191803211,0.0232396786,0.7881264247
ENSMUSG00000000915,Hip1r,Age,18,1,0.3970,0.1963,0.0123,0.7818,4.09,0.0431,0.5685694225,0.5727855388,0.2831974643,0.2452165003,1.4873926403
ENSMUSG00000000916,Nsun5,Age,18,1,-0.0775,0.5798,-1.2139,1.0590,0.02,0.8937,0.9999208275,-0.111756345,0.8365346913,0.0000343855,0.925460715
ENSMUSG00000000934,Top1mt,Age,18,1,0.6489,0.5062,-0.3432,1.6410,1.64,0.1999,0.8308339123,0.9361538958,0.7302504065,0.0804857851,1.9134204146
ENSMUSG00000000942,Hoxa4,Age,18,1,-0.3381,1.3610,-3.0055,2.3293,0.06,0.8038,0.9981830775,-0.487793778,1.9634451385,0.0007897971,0.7131147854
ENSMUSG00000000948,Gm38393,Age,18,1,0.0402,0.9764,-1.8734,1.9539,0.00,0.9671,0.9999208275,0.0580646987,1.4086095676,0.0000343855,1.0410682841
ENSMUSG00000000957,Mmp14,Age,18,1,1.7558,0.8194,0.1498,3.3619,4.59,0.0321,0.5087731883,2.5331321479,1.1821760523,0.2934757835,5.7882697128
ENSMUSG00000000958,Slc7a7,Age,18,1,0.7114,0.3538,0.0180,1.4047,4.04,0.0443,0.5733646554,1.0262685981,0.5103856594,0.2415690823,2.0367495622
ENSMUSG00000000959,Oxa1l,Age,18,1,0.4625,0.2127,0.0456,0.8794,4.73,0.0297,0.5012068267,0.6671953934,0.3068827116,0.2999830223,1.587982918
ENSMUSG00000000976,Heatr6,Age,18,1,0.0196,0.4488,-0.8600,0.8992,0.00,0.9652,0.9999208275,0.0282772643,0.6474722039,0.0000343855,1.0197936531
ENSMUSG00000000982,Ccl3,Age,18,1,0.0688,1.1293,-2.1447,2.2822,0.00,0.9514,0.9999208275,0.0992193695,1.6292635533,0.0000343855,1.0711936915
ENSMUSG00000000983,Wfdc18,Age,18,1,0.7395,0.8105,-0.8491,2.3282,0.83,0.3616,0.9290965379,1.0669171811,1.1693714398,0.0319391582,2.0949519886
ENSMUSG00000001014,Icam4,Age,18,1,-0.0726,0.7063,-1.4570,1.3118,0.01,0.9182,0.9999208275,-0.104706668,1.0190257939,0.0000343855,0.929994012
ENSMUSG00000001016,Ilf2,Age,18,1,0.1614,0.2660,-0.3600,0.6827,0.37,0.5441,0.9796519083,0.2327912439,0.3837273963,0.0089282112,1.1751062798
ENSMUSG00000001017,Chtop,Age,18,1,0.0227,0.1855,-0.3408,0.3862,0.01,0.9027,0.9999208275,0.0327285514,0.2675893316,0.0000343855,1.0229449806
ENSMUSG00000001018,Snapin,Age,18,1,-0.1717,0.3848,-0.9258,0.5824,0.20,0.6554,0.995805013,-0.247708236,0.5550976038,0.0018256918,0.842233266
ENSMUSG00000001020,S100a4,Age,18,1,-0.4695,0.2532,-0.9657,0.0266,3.44,0.0636,0.6305619499,-0.677381908,0.3652241857,0.2002722395,0.6252989901
ENSMUSG00000001021,S100a3,Age,18,1,-1.3678,1.8871,-5.0665,2.3308,0.53,0.4686,0.9681072312,-1.973361826,2.7225263914,0.0140765359,0.2546589231
ENSMUSG00000001023,S100a5,Age,18,0,25.3440,0.0000,25.3440,25.3440,,,,36.563728535,0,,101573178390
ENSMUSG00000001025,S100a6,Age,18,1,0.0302,0.2402,-0.4406,0.5011,0.02,0.8998,0.9999208275,0.0436304337,0.3465942297,0.0000343855,1.0307042558
ENSMUSG00000001027,Scn4a,Age,18,1,1.0100,0.4520,0.1240,1.8959,4.99,0.0255,0.4851945175,1.4570635519,0.6521153817,0.3140841152,2.745489801
